2020/12/07 18:56:14,5740,하강,-0.8635578583765069,637418
2020/12/07 19:21:21,5740,하락,(-0.86%),637418
2020/12/09 14:53:08,5800,상승,(2.11%),852815
2020/12/09 15:01:01,5800,상승,(2.11%),860620
2020/12/09 15:15:45,5800,상승,(2.11%),878005
2020/12/09 15:32:20,5820,상승,(2.46%),898498
2020/12/09 16:51:59,5820,상승,(2.46%),900757
2020/12/09 16:54:33,5820,상승,(2.46%),900757
2020/12/11 16:29:38,5710,하락,(0.0%),806318
2020/12/11 16:46:39,5710,하락,(0.0%),806318
2020/12/12 05:35:24,5710,하락,(0.0%),806318
2020/12/12 05:37:06,5710,하락,(0.0%),806318
2020/12/14 14:39:21,5710,하락,(0.0%),587499
2020/12/14 14:52:03,5710,하락,(0.0%),598248
2020/12/14 15:06:03,5710,하락,(0.0%),613148
2020/12/14 15:20:51,5710,하락,(0.0%),630678
2020/12/14 15:35:35,5700,하락,(-0.18%),639713
2020/12/14 16:11:04,5700,하락,(-0.18%),640738
2020/12/14 16:26:39,5700,하락,(-0.18%),640738
2020/12/22 00:02:24,5860,하락,(-1.35%),579297
2021/01/04 14:32:05,6320,상승,(1.12%),2027129
2021/01/04 14:44:51,6310,보합,(0.96%),2074923
