2020/12/07 18:55:54,1490,하강,-0.666666666666671,2330179
2020/12/07 19:21:03,1490,하락,(-0.67%),2330179
2020/12/09 14:52:48,1425,하락,(-1.72%),724806
2020/12/09 15:00:43,1435,하락,(-1.03%),741770
2020/12/09 15:15:31,1445,하락,(-0.34%),784783
2020/12/09 15:32:02,1440,하락,(-0.69%),796478
2020/12/09 16:51:42,1440,하락,(-0.69%),796478
2020/12/09 16:54:20,1440,하락,(-0.69%),796478
2020/12/11 16:29:16,1470,상승,(2.08%),701759
2020/12/11 16:46:15,1470,상승,(2.08%),701759
2020/12/12 05:35:10,1470,상승,(2.08%),701759
2020/12/12 05:36:54,1470,상승,(2.08%),701759
2020/12/14 14:39:05,1420,하락,(-3.4%),720745
2020/12/14 14:51:46,1425,하락,(-3.06%),733121
2020/12/14 15:05:46,1425,하락,(-3.06%),830037
2020/12/14 15:20:27,1435,하락,(-2.38%),864576
2020/12/14 15:35:17,1435,하락,(-2.38%),874468
2020/12/14 16:10:50,1435,하락,(-2.38%),876618
2020/12/14 16:26:13,1435,하락,(-2.38%),876618
2020/12/14 16:59:05,1435,하락,(-2.38%),876618
2020/12/22 00:02:07,1400,하락,(-0.71%),484682
2021/01/04 14:31:47,1390,상승,(1.46%),310766
2021/01/04 14:44:38,1390,상승,(1.46%),319789
