2020/12/07 18:53:54,15200,하강,-0.3278688524590123,4806
2020/12/07 19:18:51,15200,하락,(-0.33%),4806
2020/12/09 14:50:51,14700,상승,(1.38%),2445
2020/12/09 14:58:43,14700,상승,(1.38%),2445
2020/12/09 15:14:10,14700,상승,(1.38%),2445
2020/12/09 15:29:59,14700,상승,(1.38%),2445
2020/12/09 16:50:02,14700,상승,(1.38%),2445
2020/12/09 16:53:01,14700,상승,(1.38%),2445
2020/12/11 16:26:51,14500,하락,(-1.36%),1115
2020/12/11 16:43:44,14500,하락,(-1.36%),1115
2020/12/11 17:03:02,14500,하락,(-1.36%),1115
2020/12/12 05:33:33,14500,하락,(-1.36%),1115
2020/12/12 05:35:32,14500,하락,(-1.36%),1115
2020/12/14 14:37:30,14350,하락,(-1.03%),3458
2020/12/14 14:50:09,14300,하락,(-1.38%),3477
2020/12/14 15:03:38,14600,보합,(0.69%),3478
2020/12/14 15:18:25,14600,보합,(0.69%),3479
2020/12/14 15:33:22,14600,보합,(0.69%),3479
2020/12/14 16:09:18,14600,보합,(0.69%),3479
2020/12/14 16:23:31,14600,보합,(0.69%),3479
2020/12/14 16:56:43,14600,보합,(0.69%),3479
2020/12/22 00:00:14,16750,상승,(14.73%),18644
2021/01/04 14:29:49,17550,하락,(0.0%),3485
2021/01/04 14:43:01,17800,상승,(1.42%),3540
