2020/12/07 18:56:12,5070,하강,0.0,0
2020/12/07 19:21:20,5070,하락,(0.0%),0
2020/12/09 14:53:06,5070,하락,(0.0%),0
2020/12/09 15:01:00,5070,하락,(0.0%),0
2020/12/09 15:15:44,5070,하락,(0.0%),0
2020/12/09 15:32:18,5070,하락,(0.0%),0
2020/12/09 16:51:58,5070,하락,(0.0%),0
2020/12/09 16:54:32,5070,하락,(0.0%),0
2020/12/11 16:29:37,4310,하락,(-14.99%),50
2020/12/11 16:46:38,4310,하락,(-14.99%),50
2020/12/12 05:35:23,4310,하락,(-14.99%),50
2020/12/12 05:37:05,4310,하락,(-14.99%),50
2020/12/14 14:39:20,4310,하락,(0.0%),0
2020/12/14 14:52:01,4310,하락,(0.0%),0
2020/12/14 15:06:01,4310,하락,(0.0%),0
2020/12/14 15:20:49,4310,하락,(0.0%),0
2020/12/14 15:35:34,4310,하락,(0.0%),0
2020/12/14 16:11:03,4310,하락,(0.0%),0
2020/12/14 16:26:36,4310,하락,(0.0%),0
2020/12/22 00:02:23,3400,상승,(13.33%),1
2021/01/04 14:32:03,3200,하락,(0.0%),0
2021/01/04 14:44:50,3200,하락,(0.0%),0
