2020/12/07 18:54:53,39550,하강,-1.1249999999999982,11948
2020/12/07 19:20:00,39550,하락,(-1.12%),11948
2020/12/09 14:51:50,39450,보합,(0.9%),6093
2020/12/09 14:59:42,39400,보합,(0.77%),6124
2020/12/09 15:14:51,39400,보합,(0.77%),6326
2020/12/09 15:31:00,39450,보합,(0.9%),6443
2020/12/09 16:50:54,39600,상승,(1.28%),6512
2020/12/09 16:53:40,39600,상승,(1.28%),6512
2020/12/11 16:28:04,39950,상승,(1.78%),14184
2020/12/11 16:44:58,39950,상승,(1.78%),14184
2020/12/12 05:34:23,39950,상승,(1.78%),14184
2020/12/12 05:36:14,39950,상승,(1.78%),14184
2020/12/14 14:38:20,40250,보합,(0.75%),14424
2020/12/14 14:50:59,40300,보합,(0.88%),14490
2020/12/14 15:04:50,40200,보합,(0.63%),14733
2020/12/14 15:19:26,40200,보합,(0.63%),14976
2020/12/14 15:34:20,40300,보합,(0.88%),15174
2020/12/14 16:10:07,40300,보합,(0.88%),15182
2020/12/14 16:24:55,40300,보합,(0.88%),15182
2020/12/14 16:57:56,40300,보합,(0.88%),15182
2020/12/22 00:01:09,40850,하락,(-1.33%),26295
2021/01/04 14:30:49,40000,하락,(-0.87%),13805
2021/01/04 14:43:53,40000,하락,(-0.87%),14316
