2020/12/07 18:54:30,10150,하강,-1.9323671497584516,71262
2020/12/07 19:19:33,10150,하락,(-1.93%),71262
2020/12/09 14:51:28,10350,상승,(1.47%),27123
2020/12/09 14:59:20,10400,상승,(1.96%),30429
2020/12/09 15:14:36,10350,상승,(1.47%),31948
2020/12/09 15:30:39,10400,상승,(1.96%),32342
2020/12/09 16:50:35,10400,상승,(1.96%),36003
2020/12/09 16:53:25,10400,상승,(1.96%),36003
2020/12/11 16:27:34,10400,하락,(0.0%),24166
2020/12/11 16:44:29,10400,하락,(0.0%),24166
2020/12/12 05:34:05,10400,하락,(0.0%),24166
2020/12/12 05:35:59,10400,하락,(0.0%),24166
2020/12/14 14:38:00,10200,하락,(-1.92%),28368
2020/12/14 14:50:41,10200,하락,(-1.92%),29256
2020/12/14 15:04:29,10200,하락,(-1.92%),29387
2020/12/14 15:19:05,10200,하락,(-1.92%),34977
2020/12/14 15:33:59,10250,하락,(-1.44%),36679
2020/12/14 16:09:50,10250,하락,(-1.44%),36680
2020/12/14 16:24:24,10250,하락,(-1.44%),36680
2020/12/14 16:57:29,10250,하락,(-1.44%),36680
2020/12/22 00:00:49,11600,보합,(0.43%),184695
2021/01/04 14:30:26,12150,보합,(0.83%),103309
2021/01/04 14:43:34,12100,보합,(0.41%),115875
