2020/12/07 18:56:51,7090,하강,-2.071823204419887,453573
2020/12/07 19:21:51,7090,하락,(-2.07%),453573
2020/12/09 14:53:46,7320,상승,(3.1%),435175
2020/12/09 15:01:37,7310,상승,(2.96%),446024
2020/12/09 15:16:11,7320,상승,(3.1%),482984
2020/12/09 15:33:00,7310,상승,(2.96%),505419
2020/12/09 16:52:25,7310,상승,(2.96%),505576
2020/12/09 16:54:57,7310,상승,(2.96%),505576
2020/12/11 16:30:21,7250,하락,(-0.14%),318288
2020/12/11 16:47:22,7250,하락,(-0.14%),318288
2020/12/12 05:35:51,7250,하락,(-0.14%),318288
2020/12/12 05:37:28,7250,하락,(-0.14%),318288
2020/12/14 14:39:51,7150,하락,(-1.38%),319451
2020/12/14 14:52:33,7150,하락,(-1.38%),324072
2020/12/14 15:06:30,7140,하락,(-1.52%),332844
2020/12/14 15:21:19,7160,하락,(-1.24%),339462
2020/12/14 15:36:11,7160,하락,(-1.24%),345868
2020/12/14 16:11:28,7160,하락,(-1.24%),346268
2020/12/14 16:27:25,7160,하락,(-1.24%),346268
2020/12/22 00:02:55,7110,보합,(0.57%),334196
2021/01/04 14:32:39,7000,하락,(-1.82%),367037
2021/01/04 14:45:15,6990,하락,(-1.96%),382922
