2020/12/07 18:55:56,6690,하강,-0.14925373134327957,183451
2020/12/07 19:21:04,6690,하락,(-0.15%),183451
2020/12/09 14:52:50,6670,하락,(0.0%),139563
2020/12/09 15:00:45,6670,하락,(0.0%),141910
2020/12/09 15:15:33,6690,보합,(0.3%),142269
2020/12/09 15:32:04,6680,보합,(0.15%),147114
2020/12/09 16:51:45,6670,하락,(0.0%),149792
2020/12/09 16:54:21,6670,하락,(0.0%),149792
2020/12/11 16:29:18,6730,보합,(0.45%),122557
2020/12/11 16:46:18,6730,보합,(0.45%),122557
2020/12/12 05:35:11,6730,보합,(0.45%),122557
2020/12/12 05:36:55,6730,보합,(0.45%),122557
2020/12/14 14:39:07,6670,하락,(-0.89%),94018
2020/12/14 14:51:48,6660,하락,(-1.04%),94909
2020/12/14 15:05:48,6650,하락,(-1.19%),105962
2020/12/14 15:20:29,6670,하락,(-0.89%),108840
2020/12/14 15:35:19,6650,하락,(-1.19%),117936
2020/12/14 16:10:51,6650,하락,(-1.19%),117937
2020/12/14 16:26:15,6650,하락,(-1.19%),117937
2020/12/14 16:59:08,6650,하락,(-1.19%),117937
2020/12/22 00:02:09,6820,하락,(-1.16%),157218
2021/01/04 14:31:49,7090,상승,(3.96%),567677
2021/01/04 14:44:40,7110,상승,(4.25%),599600
