2020/12/07 18:55:57,7950,하강,-2.0935960591133007,89056
2020/12/07 19:21:05,7950,하락,(-2.09%),89056
2020/12/09 14:52:51,8000,보합,(0.13%),15331
2020/12/09 15:00:45,8000,보합,(0.13%),15382
2020/12/09 15:15:33,8000,보합,(0.13%),15721
2020/12/09 15:32:04,8000,보합,(0.13%),18957
2020/12/09 16:51:45,8000,보합,(0.13%),19058
2020/12/09 16:54:21,8000,보합,(0.13%),19058
2020/12/11 16:29:19,7990,보합,(0.13%),25320
2020/12/11 16:46:19,7990,보합,(0.13%),25320
2020/12/12 05:35:12,7990,보합,(0.13%),25320
2020/12/12 05:36:56,7990,보합,(0.13%),25320
2020/12/14 14:39:08,7900,하락,(-1.13%),42970
2020/12/14 14:51:49,7900,하락,(-1.13%),45694
2020/12/14 15:05:48,7820,하락,(-2.13%),63933
2020/12/14 15:20:29,7870,하락,(-1.5%),75410
2020/12/14 15:35:20,7900,하락,(-1.13%),78863
2020/12/14 16:10:52,7900,하락,(-1.13%),78868
2020/12/14 16:26:16,7900,하락,(-1.13%),78868
2020/12/14 16:59:09,7900,하락,(-1.13%),78868
2020/12/22 00:02:09,8080,하락,(-0.62%),45340
2021/01/04 14:31:50,8260,상승,(1.35%),194941
2021/01/04 14:44:40,8280,상승,(1.6%),195722
