2020/12/07 18:55:28,6760,하강,-1.6011644832605532,258854
2020/12/07 19:20:37,6760,하락,(-1.6%),258854
2020/12/09 14:52:24,6850,상승,(2.24%),281385
2020/12/09 15:00:17,6850,상승,(2.24%),284993
2020/12/09 15:15:14,6860,상승,(2.39%),297357
2020/12/09 15:31:37,6830,상승,(1.94%),306195
2020/12/09 16:51:22,6830,상승,(1.94%),307770
2020/12/09 16:54:03,6830,상승,(1.94%),307770
2020/12/11 16:28:43,7030,하락,(-0.99%),477118
2020/12/11 16:45:42,7030,하락,(-0.99%),477118
2020/12/12 05:34:50,7030,하락,(-0.99%),477118
2020/12/12 05:36:37,7030,하락,(-0.99%),477118
2020/12/14 14:38:47,6890,하락,(-1.99%),266490
2020/12/14 14:51:26,6890,하락,(-1.99%),273237
2020/12/14 15:05:21,6900,하락,(-1.85%),277919
2020/12/14 15:19:59,6900,하락,(-1.85%),294978
2020/12/14 15:34:53,6900,하락,(-1.85%),299528
2020/12/14 16:10:31,6900,하락,(-1.85%),300553
2020/12/14 16:25:40,6900,하락,(-1.85%),300553
2020/12/14 16:58:35,6900,하락,(-1.85%),300553
2020/12/22 00:01:42,7000,보합,(0.43%),292228
2021/01/04 14:31:24,7160,하락,(-0.28%),378293
2021/01/04 14:44:19,7150,하락,(-0.42%),389880
