2020/12/07 18:55:52,23150,하강,-1.279317697228144,168296
2020/12/07 19:21:00,23150,하락,(-1.28%),168296
2020/12/09 14:52:46,23050,하락,(-0.22%),150543
2020/12/09 15:00:41,23050,하락,(-0.22%),154343
2020/12/09 15:15:30,23050,하락,(-0.22%),160228
2020/12/09 15:32:00,23050,하락,(-0.22%),166384
2020/12/09 16:51:41,23050,하락,(-0.22%),167462
2020/12/09 16:54:18,23050,하락,(-0.22%),167462
2020/12/11 16:29:14,24300,상승,(1.04%),419892
2020/12/11 16:46:12,24300,상승,(1.04%),419892
2020/12/12 05:35:08,24300,상승,(1.04%),419892
2020/12/12 05:36:53,24300,상승,(1.04%),419892
2020/12/14 14:39:04,24300,하락,(0.0%),241559
2020/12/14 14:51:44,24300,하락,(0.0%),243612
2020/12/14 15:05:44,24350,보합,(0.21%),249009
2020/12/14 15:20:24,24250,하락,(-0.21%),254989
2020/12/14 15:35:16,24350,보합,(0.21%),260090
2020/12/14 16:10:48,24350,보합,(0.21%),260652
2020/12/14 16:26:11,24350,보합,(0.21%),260652
2020/12/14 16:59:03,24350,보합,(0.21%),260652
2020/12/22 00:02:05,24400,하락,(-1.21%),169672
2021/01/04 14:31:46,25350,상승,(2.01%),375575
2021/01/04 14:44:37,25450,상승,(2.41%),380470
