2020/12/07 18:54:37,7100,하강,-1.66204986149584,699950
2020/12/07 19:19:41,7100,하락,(-1.66%),699950
2020/12/09 14:51:35,6920,보합,(0.14%),562354
2020/12/09 14:59:26,6940,보합,(0.43%),572307
2020/12/09 15:14:41,6910,하락,(0.0%),592344
2020/12/09 15:30:46,6970,보합,(0.87%),616374
2020/12/09 16:50:41,6970,보합,(0.87%),617101
2020/12/09 16:53:30,6970,보합,(0.87%),617101
2020/12/11 16:27:43,6910,하락,(-0.58%),327663
2020/12/11 16:44:38,6910,하락,(-0.58%),327663
2020/12/12 05:34:11,6910,하락,(-0.58%),327663
2020/12/12 05:36:04,6910,하락,(-0.58%),327663
2020/12/14 14:38:07,6890,하락,(-0.29%),439261
2020/12/14 14:50:47,6900,하락,(-0.14%),450930
2020/12/14 15:04:37,6880,하락,(-0.43%),458561
2020/12/14 15:19:12,6890,하락,(-0.29%),472959
2020/12/14 15:34:06,6900,하락,(-0.14%),479481
2020/12/14 16:09:56,6900,하락,(-0.14%),482038
2020/12/14 16:24:33,6900,하락,(-0.14%),482038
2020/12/14 16:57:38,6900,하락,(-0.14%),482038
2020/12/22 00:00:55,7880,상승,(4.93%),1010414
2021/01/04 14:30:33,9190,상승,(2.11%),1049232
2021/01/04 14:43:40,9190,상승,(2.11%),1073244
