2020/12/07 18:56:09,310,하강,0.0,0
2020/12/07 19:21:17,310,하락,(0.0%),0
2020/12/09 14:53:03,310,하락,(0.0%),0
2020/12/09 15:00:57,310,하락,(0.0%),0
2020/12/09 15:15:41,310,하락,(0.0%),0
2020/12/09 15:32:15,310,하락,(0.0%),0
2020/12/09 16:51:54,310,하락,(0.0%),0
2020/12/09 16:54:29,310,하락,(0.0%),0
2020/12/11 16:29:33,310,하락,(0.0%),0
2020/12/11 16:46:34,310,하락,(0.0%),0
2020/12/12 05:35:20,310,하락,(0.0%),0
2020/12/12 05:37:03,310,하락,(0.0%),0
2020/12/14 14:39:17,310,하락,(0.0%),0
2020/12/14 14:51:58,310,하락,(0.0%),0
2020/12/14 15:05:59,310,하락,(0.0%),0
2020/12/14 15:20:46,310,하락,(0.0%),0
2020/12/14 15:35:31,310,하락,(0.0%),0
2020/12/14 16:11:00,310,하락,(0.0%),0
2020/12/14 16:26:32,310,하락,(0.0%),0
2020/12/22 00:02:20,310,하락,(0.0%),0
2021/01/04 14:32:00,310,하락,(0.0%),0
2021/01/04 14:44:48,310,하락,(0.0%),0
