2020/12/07 18:55:41,1995,하강,-4.545454545454541,2293018
2020/12/07 19:20:50,1995,하락,(-4.55%),2293018
2020/12/09 14:52:36,2020,하락,(-0.49%),590347
2020/12/09 15:00:29,2025,하락,(-0.25%),596110
2020/12/09 15:15:23,2030,하락,(0.0%),619892
2020/12/09 15:31:50,2025,하락,(-0.25%),647239
2020/12/09 16:51:32,2025,하락,(-0.25%),648829
2020/12/09 16:54:12,2025,하락,(-0.25%),648829
2020/12/11 16:29:00,2070,보합,(0.49%),685735
2020/12/11 16:45:59,2070,보합,(0.49%),685735
2020/12/12 05:35:00,2070,보합,(0.49%),685735
2020/12/12 05:36:46,2070,보합,(0.49%),685735
2020/12/14 14:38:56,2030,하락,(-1.93%),597595
2020/12/14 14:51:36,2040,하락,(-1.45%),611577
2020/12/14 15:05:33,2030,하락,(-1.93%),642901
2020/12/14 15:20:13,2020,하락,(-2.42%),704398
2020/12/14 15:35:06,2030,하락,(-1.93%),746503
2020/12/14 16:10:40,2030,하락,(-1.93%),747112
2020/12/14 16:25:58,2030,하락,(-1.93%),747112
2020/12/14 16:58:50,2030,하락,(-1.93%),747112
2020/12/22 00:01:54,1955,하락,(-2.25%),1063413
2021/01/04 14:31:36,1985,상승,(2.06%),826913
2021/01/04 14:44:29,1990,상승,(2.31%),861071
