2020/12/07 18:54:18,12250,하강,-2.777777777777779,743529
2020/12/07 19:19:20,12250,하락,(-2.78%),743529
2020/12/09 14:51:15,12650,보합,(0.8%),471785
2020/12/09 14:59:07,12650,보합,(0.8%),484278
2020/12/09 15:14:27,12650,보합,(0.8%),501130
2020/12/09 15:30:27,12650,보합,(0.8%),506487
2020/12/09 16:50:24,12650,보합,(0.8%),514192
2020/12/09 16:53:17,12650,보합,(0.8%),514192
2020/12/11 16:27:19,12950,상승,(1.17%),942079
2020/12/11 16:44:14,12950,상승,(1.17%),942079
2020/12/12 05:33:54,12950,상승,(1.17%),942079
2020/12/12 05:35:50,12950,상승,(1.17%),942079
2020/12/14 14:37:50,12900,하락,(-0.39%),347286
2020/12/14 14:50:30,12900,하락,(-0.39%),353762
2020/12/14 15:04:10,12900,하락,(-0.39%),362431
2020/12/14 15:18:54,12850,하락,(-0.77%),377618
2020/12/14 15:33:45,12850,하락,(-0.77%),389722
2020/12/14 16:09:40,12850,하락,(-0.77%),391161
2020/12/14 16:24:05,12850,하락,(-0.77%),391161
2020/12/14 16:57:14,12850,하락,(-0.77%),391161
2020/12/22 00:00:37,12000,상승,(1.69%),529003
2021/01/04 14:30:13,11850,상승,(1.28%),482090
2021/01/04 14:43:23,11850,상승,(1.28%),495309
