2020/12/07 18:55:55,11700,하강,-4.489795918367346,769758
2020/12/07 19:21:04,11700,하락,(-4.49%),769758
2020/12/09 14:52:49,12000,상승,(4.35%),427118
2020/12/09 15:00:44,11950,상승,(3.91%),434924
2020/12/09 15:15:32,11950,상승,(3.91%),454782
2020/12/09 15:32:03,11900,상승,(3.48%),482220
2020/12/09 16:51:44,11900,상승,(3.48%),482316
2020/12/09 16:54:20,11900,상승,(3.48%),482316
2020/12/11 16:29:17,11700,보합,(0.43%),208445
2020/12/11 16:46:16,11700,보합,(0.43%),208445
2020/12/12 05:35:10,11700,보합,(0.43%),208445
2020/12/12 05:36:55,11700,보합,(0.43%),208445
2020/12/14 14:39:06,11600,하락,(-0.85%),227583
2020/12/14 14:51:47,11600,하락,(-0.85%),233699
2020/12/14 15:05:47,11550,하락,(-1.28%),238491
2020/12/14 15:20:28,11550,하락,(-1.28%),253484
2020/12/14 15:35:19,11500,하락,(-1.71%),267760
2020/12/14 16:10:50,11500,하락,(-1.71%),269102
2020/12/14 16:26:14,11500,하락,(-1.71%),269102
2020/12/14 16:59:07,11500,하락,(-1.71%),269102
2020/12/22 00:02:08,11400,하락,(-3.39%),405812
2021/01/04 14:31:48,13250,상승,(3.11%),11388190
2021/01/04 14:44:39,13400,상승,(4.28%),11528622
