2020/12/07 18:55:58,6560,하강,-2.526002971768204,293922
2020/12/07 19:21:07,6560,하락,(-2.53%),293922
2020/12/09 14:52:52,6840,상승,(3.01%),51129
2020/12/09 15:00:47,6840,상승,(3.01%),52540
2020/12/09 15:15:34,6840,상승,(3.01%),54687
2020/12/09 15:32:06,6820,상승,(2.71%),55932
2020/12/09 16:51:46,6820,상승,(2.71%),56132
2020/12/09 16:54:22,6820,상승,(2.71%),56132
2020/12/11 16:29:21,6690,하락,(-0.89%),54482
2020/12/11 16:46:20,6690,하락,(-0.89%),54482
2020/12/12 05:35:13,6690,하락,(-0.89%),54482
2020/12/12 05:36:57,6690,하락,(-0.89%),54482
2020/12/14 14:39:09,6530,하락,(-2.39%),116347
2020/12/14 14:51:50,6540,하락,(-2.24%),117009
2020/12/14 15:05:50,6550,하락,(-2.09%),117448
2020/12/14 15:20:32,6550,하락,(-2.09%),118152
2020/12/14 15:35:22,6550,하락,(-2.09%),119520
2020/12/14 16:10:53,6550,하락,(-2.09%),119520
2020/12/14 16:26:18,6550,하락,(-2.09%),119520
2020/12/14 16:59:10,6550,하락,(-2.09%),119520
2020/12/22 00:02:11,6160,하락,(-2.38%),166856
2021/01/04 14:31:51,6450,상승,(2.38%),156787
2021/01/04 14:44:41,6450,상승,(2.38%),156787
