2020/12/07 18:55:30,2780,하강,0.0,0
2020/12/07 19:20:39,2780,하락,(0.0%),0
2020/12/09 14:52:26,2780,하락,(0.0%),0
2020/12/09 15:00:19,2780,하락,(0.0%),0
2020/12/09 15:15:15,2780,하락,(0.0%),0
2020/12/09 15:31:39,2780,하락,(0.0%),0
2020/12/09 16:51:24,2780,하락,(0.0%),0
2020/12/09 16:54:04,2780,하락,(0.0%),0
2020/12/11 16:28:45,2780,하락,(0.0%),0
2020/12/11 16:45:44,2780,하락,(0.0%),0
2020/12/12 05:34:51,2780,하락,(0.0%),0
2020/12/12 05:36:39,2780,하락,(0.0%),0
2020/12/14 14:38:48,2780,하락,(0.0%),0
2020/12/14 14:51:27,2780,하락,(0.0%),0
2020/12/14 15:05:23,2780,하락,(0.0%),0
2020/12/14 15:20:01,2780,하락,(0.0%),0
2020/12/14 15:34:55,2780,하락,(0.0%),0
2020/12/14 16:10:32,2780,하락,(0.0%),0
2020/12/14 16:25:42,2780,하락,(0.0%),0
2020/12/14 16:58:37,2780,하락,(0.0%),0
2020/12/22 00:01:44,2780,하락,(0.0%),0
2021/01/04 14:31:26,2780,하락,(0.0%),0
2021/01/04 14:44:20,2780,하락,(0.0%),0
