2020/12/07 18:49:52,52,하강,-38.8235294117647,24831512
2020/12/07 19:13:32,52,하락,(-38.82%),24831512
2020/12/09 14:46:49,52,하락,(-38.82%),24831512
2020/12/09 14:54:27,52,하락,(-38.82%),24831512
2020/12/09 15:10:59,52,하락,(-38.82%),24831512
2020/12/09 15:25:47,52,하락,(-38.82%),24831512
2020/12/09 16:09:35,52,하락,(-38.82%),24831512
2020/12/09 16:45:42,52,하락,(-38.82%),24831512
2020/12/09 16:49:44,52,하락,(-38.82%),24831512
2020/12/11 16:21:40,52,하락,(-38.82%),24831512
2020/12/11 16:38:47,52,하락,(-38.82%),24831512
2020/12/11 16:57:32,52,하락,(-38.82%),24831512
2020/12/12 05:30:15,52,하락,(-38.82%),24831512
2020/12/12 05:32:23,52,하락,(-38.82%),24831512
2020/12/14 14:33:59,52,하락,(-38.82%),24831512
2020/12/14 14:46:41,52,하락,(-38.82%),24831512
2020/12/14 14:59:10,52,하락,(-38.82%),24831512
2020/12/14 15:14:19,52,하락,(-38.82%),24831512
2020/12/14 15:29:11,52,하락,(-38.82%),24831512
2020/12/14 16:05:30,52,하락,(-38.82%),24831512
2020/12/14 16:18:59,52,하락,(-38.82%),24831512
2020/12/14 16:37:59,52,하락,(-38.82%),24831512
2020/12/14 16:51:59,52,하락,(-38.82%),24831512
2020/12/21 23:56:21,52,하락,(-38.82%),24831512
2021/01/04 14:25:52,52,하락,(-38.82%),24831512
2021/01/04 14:39:30,52,하락,(-38.82%),24831512
2021/01/04 14:52:19,52,하락,(-38.82%),24831512
