2020/12/07 18:56:59,12300,하강,-3.529411764705881,5058861
2020/12/07 19:21:57,12300,하락,(-3.53%),5058861
2020/12/09 14:53:53,12900,상승,(1.18%),3828257
2020/12/09 15:01:47,12850,보합,(0.78%),3870728
2020/12/09 15:16:17,12900,상승,(1.18%),4025620
2020/12/09 15:33:08,12900,상승,(1.18%),4257924
2020/12/09 16:52:30,12900,상승,(1.18%),4263248
2020/12/09 16:55:03,12900,상승,(1.18%),4263248
2020/12/11 16:30:29,13800,하락,(-0.36%),6393791
2020/12/11 16:47:31,13800,하락,(-0.36%),6393791
2020/12/12 05:35:57,13800,하락,(-0.36%),6393791
2020/12/12 05:37:33,13800,하락,(-0.36%),6393791
2020/12/14 14:39:57,13350,하락,(-3.26%),3898933
2020/12/14 14:52:39,13400,하락,(-2.9%),4093661
2020/12/14 15:06:37,13300,하락,(-3.62%),4278044
2020/12/14 15:21:24,13350,하락,(-3.26%),4441452
2020/12/14 15:36:17,13300,하락,(-3.62%),4578782
2020/12/14 16:11:33,13300,하락,(-3.62%),4596733
2020/12/14 16:27:34,13300,하락,(-3.62%),4596733
2020/12/22 00:03:01,13600,하락,(-1.45%),5273662
2021/01/04 14:32:45,16500,상승,(18.28%),33635478
2021/01/04 14:45:21,16400,상승,(17.56%),34912845
