2020/12/07 18:54:33,1475,하강,-1.3377926421404673,397724
2020/12/07 19:19:36,1475,하락,(-1.34%),397724
2020/12/09 14:51:30,1485,보합,(0.34%),300295
2020/12/09 14:59:22,1490,보합,(0.68%),305896
2020/12/09 15:14:37,1480,하락,(0.0%),313364
2020/12/09 15:30:42,1485,보합,(0.34%),318700
2020/12/09 16:50:37,1480,하락,(0.0%),330466
2020/12/09 16:53:27,1480,하락,(0.0%),330466
2020/12/11 16:27:36,1490,상승,(1.71%),523173
2020/12/11 16:44:32,1490,상승,(1.71%),523173
2020/12/12 05:34:07,1490,상승,(1.71%),523173
2020/12/12 05:36:01,1490,상승,(1.71%),523173
2020/12/14 14:38:01,1480,하락,(-0.67%),339645
2020/12/14 14:50:43,1475,하락,(-1.01%),350589
2020/12/14 15:04:32,1470,하락,(-1.34%),374960
2020/12/14 15:19:07,1465,하락,(-1.68%),386792
2020/12/14 15:34:01,1470,하락,(-1.34%),414444
2020/12/14 16:09:52,1470,하락,(-1.34%),414448
2020/12/14 16:24:27,1470,하락,(-1.34%),414448
2020/12/14 16:57:32,1470,하락,(-1.34%),414448
2020/12/22 00:00:51,1475,하락,(-3.28%),520714
2021/01/04 14:30:28,1520,보합,(1.0%),497812
2021/01/04 14:43:36,1520,보합,(1.0%),522797
