2020/12/07 18:54:42,1610,하강,-0.9230769230769265,157822
2020/12/07 19:19:48,1610,하락,(-0.92%),157822
2020/12/09 14:51:39,1600,하락,(-0.62%),168123
2020/12/09 14:59:31,1605,하락,(-0.31%),176155
2020/12/09 15:14:44,1590,하락,(-1.24%),191531
2020/12/09 15:30:50,1600,하락,(-0.62%),195028
2020/12/09 16:50:44,1600,하락,(-0.62%),199812
2020/12/09 16:53:33,1600,하락,(-0.62%),199812
2020/12/11 16:27:51,1540,하락,(-1.91%),270107
2020/12/11 16:44:43,1540,하락,(-1.91%),270107
2020/12/12 05:34:14,1540,하락,(-1.91%),270107
2020/12/12 05:36:07,1540,하락,(-1.91%),270107
2020/12/14 14:38:11,1520,하락,(-1.3%),209504
2020/12/14 14:50:50,1525,하락,(-0.97%),214989
2020/12/14 15:04:40,1525,하락,(-0.97%),215964
2020/12/14 15:19:16,1530,하락,(-0.65%),222540
2020/12/14 15:34:10,1525,하락,(-0.97%),225564
2020/12/14 16:09:59,1525,하락,(-0.97%),225564
2020/12/14 16:24:39,1525,하락,(-0.97%),225564
2020/12/14 16:57:43,1525,하락,(-0.97%),225564
2020/12/22 00:00:59,1500,하락,(-1.96%),169416
2021/01/04 14:30:37,1400,하락,(-1.06%),198412
2021/01/04 14:43:44,1400,하락,(-1.06%),201278
