2020/12/07 18:54:34,1500,하강,-3.8461538461538436,1238290
2020/12/07 19:19:38,1500,하락,(-3.85%),1238290
2020/12/09 14:51:32,1500,보합,(0.33%),359083
2020/12/09 14:59:23,1500,보합,(0.33%),366383
2020/12/09 15:14:39,1505,보합,(0.67%),389144
2020/12/09 15:30:43,1505,보합,(0.67%),394678
2020/12/09 16:50:38,1505,보합,(0.67%),404021
2020/12/09 16:53:28,1505,보합,(0.67%),404021
2020/12/11 16:27:39,1495,보합,(0.67%),364199
2020/12/11 16:44:34,1495,보합,(0.67%),364199
2020/12/12 05:34:08,1495,보합,(0.67%),364199
2020/12/12 05:36:02,1495,보합,(0.67%),364199
2020/12/14 14:38:03,1475,하락,(-1.34%),332365
2020/12/14 14:50:44,1470,하락,(-1.67%),346035
2020/12/14 15:04:33,1470,하락,(-1.67%),349042
2020/12/14 15:19:09,1465,하락,(-2.01%),388085
2020/12/14 15:34:03,1465,하락,(-2.01%),398279
2020/12/14 16:09:54,1465,하락,(-2.01%),400557
2020/12/14 16:24:29,1465,하락,(-2.01%),400557
2020/12/14 16:57:34,1465,하락,(-2.01%),400557
2020/12/22 00:00:52,1480,상승,(1.02%),314608
2021/01/04 14:30:30,1510,상승,(1.68%),456211
2021/01/04 14:43:38,1510,상승,(1.68%),462585
