2020/12/07 18:55:04,1595,하강,-1.2383900928792602,57141
2020/12/07 19:20:11,1595,하락,(-1.24%),57141
2020/12/09 14:52:01,1590,하락,(-0.93%),104693
2020/12/09 14:59:54,1590,하락,(-0.93%),108418
2020/12/09 15:14:59,1570,하락,(-2.18%),141925
2020/12/09 15:31:09,1585,하락,(-1.25%),142426
2020/12/09 16:51:03,1585,하락,(-1.25%),148319
2020/12/09 16:53:47,1585,하락,(-1.25%),148319
2020/12/11 16:28:17,1590,보합,(0.32%),103727
2020/12/11 16:45:14,1590,보합,(0.32%),103727
2020/12/12 05:34:31,1590,보합,(0.32%),103727
2020/12/12 05:36:22,1590,보합,(0.32%),103727
2020/12/14 14:38:29,1580,하락,(-0.63%),44089
2020/12/14 14:51:08,1580,하락,(-0.63%),47527
2020/12/14 15:05:00,1585,하락,(-0.31%),47731
2020/12/14 15:19:35,1585,하락,(-0.31%),48092
2020/12/14 15:34:31,1585,하락,(-0.31%),48753
2020/12/14 16:10:14,1585,하락,(-0.31%),48753
2020/12/14 16:25:09,1585,하락,(-0.31%),48753
2020/12/14 16:58:10,1585,하락,(-0.31%),48753
2020/12/22 00:01:21,1560,하락,(-0.95%),155721
2021/01/04 14:31:01,1540,하락,(-0.65%),60352
2021/01/04 14:44:01,1550,하락,(0.0%),60701
