2020/12/07 18:47:38,23,하강,-36.111111111111114,36618582
2020/12/07 18:57:33,23,하락,-36.11,36618582
2020/12/07 19:10:43,23,하락,(-36.11%),36618582
2020/12/09 14:44:53,23,하락,(-36.11%),36618582
2020/12/09 14:52:13,23,하락,(-36.11%),36618582
2020/12/09 15:09:16,23,하락,(-36.11%),36618582
2020/12/09 15:23:21,23,하락,(-36.11%),36618582
2020/12/09 16:06:53,23,하락,(-36.11%),36618582
2020/12/09 16:43:21,23,하락,(-36.11%),36618582
2020/12/09 16:47:39,23,하락,(-36.11%),36618582
2020/12/11 16:18:51,23,하락,(-36.11%),36618582
2020/12/11 16:36:11,23,하락,(-36.11%),36618582
2020/12/11 16:54:26,23,하락,(-36.11%),36618582
2020/12/12 05:28:30,23,하락,(-36.11%),36618582
2020/12/12 05:30:48,23,하락,(-36.11%),36618582
2020/12/14 14:32:06,23,하락,(-36.11%),36618582
2020/12/14 14:44:56,23,하락,(-36.11%),36618582
2020/12/14 14:57:24,23,하락,(-36.11%),36618582
2020/12/14 15:12:03,23,하락,(-36.11%),36618582
2020/12/14 15:26:45,23,하락,(-36.11%),36618582
2020/12/14 16:03:20,23,하락,(-36.11%),36618582
2020/12/14 16:16:49,23,하락,(-36.11%),36618582
2020/12/14 16:35:21,23,하락,(-36.11%),36618582
2020/12/14 16:49:11,23,하락,(-36.11%),36618582
2020/12/21 23:54:24,23,하락,(-36.11%),36618582
2021/01/04 14:23:37,23,하락,(-36.11%),36618582
2021/01/04 14:37:47,23,하락,(-36.11%),36618582
2021/01/04 14:50:25,23,하락,(-36.11%),36618582
