2020/12/07 18:56:20,22850,하강,-2.765957446808509,431204
2020/12/07 19:21:26,22850,하락,(-2.77%),431204
2020/12/09 14:53:13,23350,상승,(1.74%),455575
2020/12/09 15:01:06,23400,상승,(1.96%),456734
2020/12/09 15:15:49,23600,상승,(2.83%),467384
2020/12/09 15:32:26,23550,상승,(2.61%),474453
2020/12/09 16:52:03,23550,상승,(2.61%),475708
2020/12/09 16:54:36,23550,상승,(2.61%),475708
2020/12/11 16:29:45,23300,보합,(0.65%),259593
2020/12/11 16:46:46,23300,보합,(0.65%),259593
2020/12/12 05:35:28,23300,보합,(0.65%),259593
2020/12/12 05:37:09,23300,보합,(0.65%),259593
2020/12/14 14:39:27,22800,하락,(-2.15%),289246
2020/12/14 14:52:07,22800,하락,(-2.15%),294723
2020/12/14 15:06:08,22800,하락,(-2.15%),303859
2020/12/14 15:20:57,22800,하락,(-2.15%),334687
2020/12/14 15:35:41,22750,하락,(-2.36%),341657
2020/12/14 16:11:07,22750,하락,(-2.36%),343196
2020/12/14 16:26:46,22750,하락,(-2.36%),343196
2020/12/22 00:02:30,22850,하락,(-0.65%),346639
2021/01/04 14:32:10,24750,상승,(3.56%),770077
2021/01/04 14:44:55,24750,상승,(3.56%),782751
