2020/12/07 18:57:00,100000,하강,-3.3816425120772986,726
2020/12/07 19:21:58,100000,하락,(-3.38%),726
2020/12/09 14:53:54,98200,하락,(-0.81%),560
2020/12/09 15:01:48,98200,하락,(-0.81%),560
2020/12/09 15:16:18,97700,하락,(-1.31%),598
2020/12/09 15:33:10,97300,하락,(-1.72%),603
2020/12/09 16:52:31,97300,하락,(-1.72%),603
2020/12/09 16:55:04,97300,하락,(-1.72%),603
2020/12/11 16:30:31,102000,상승,(3.03%),980
2020/12/11 16:47:32,102000,상승,(3.03%),980
2020/12/12 05:35:58,102000,상승,(3.03%),980
2020/12/12 05:37:33,102000,상승,(3.03%),980
2020/12/14 14:39:58,102500,보합,(0.49%),617
2020/12/14 14:52:40,101500,하락,(-0.49%),622
2020/12/14 15:06:38,101500,하락,(-0.49%),632
2020/12/14 15:21:24,100500,하락,(-1.47%),700
2020/12/14 15:36:18,101500,하락,(-0.49%),710
2020/12/14 16:11:34,101500,하락,(-0.49%),710
2020/12/14 16:27:35,101500,하락,(-0.49%),710
2020/12/22 00:03:02,106000,상승,(1.44%),2521
2021/01/04 14:32:46,103500,상승,(1.47%),2566
2021/01/04 14:45:22,103500,상승,(1.47%),2566
