2020/12/07 18:54:46,1020,하강,-1.9230769230769273,763059
2020/12/07 19:19:53,1020,하락,(-1.92%),763059
2020/12/09 14:51:44,1035,상승,(1.97%),540415
2020/12/09 14:59:36,1035,상승,(1.97%),541987
2020/12/09 15:14:47,1040,상승,(2.46%),582565
2020/12/09 15:30:54,1045,상승,(2.96%),587488
2020/12/09 16:50:49,1045,상승,(2.96%),630833
2020/12/09 16:53:36,1045,상승,(2.96%),630833
2020/12/11 16:27:57,1050,하락,(0.0%),433367
2020/12/11 16:44:50,1050,하락,(0.0%),433367
2020/12/12 05:34:18,1050,하락,(0.0%),433367
2020/12/12 05:36:10,1050,하락,(0.0%),433367
2020/12/14 14:38:15,1045,하락,(-0.48%),333433
2020/12/14 14:50:54,1040,하락,(-0.95%),356938
2020/12/14 15:04:45,1045,하락,(-0.48%),374495
2020/12/14 15:19:21,1040,하락,(-0.95%),428234
2020/12/14 15:34:14,1045,하락,(-0.48%),468002
2020/12/14 16:10:03,1045,하락,(-0.48%),468022
2020/12/14 16:24:47,1045,하락,(-0.48%),468022
2020/12/14 16:57:49,1045,하락,(-0.48%),468022
2020/12/22 00:01:03,1110,하락,(-1.33%),2399190
2021/01/04 14:30:43,1400,상승,(29.63%),26810395
2021/01/04 14:43:48,1400,상승,(29.63%),26812240
